"Polyglot","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_HELP_MAX_HANDS_MOVEMENT","","This objective is special. There is a <color=#FFFFFF88>MAXIMUM distance</color> you can move with your <color=#FFFFFF88>hands.</color>","Cet objectif est particulier. Une <color=#FFFFFF88>distance MAXIMALE</color> a été définie pour les mouvements de vos <color=#FFFFFF88>mains.</color>","Este objetivo es especial. Existe una <color=#FFFFFF88>distancia MÁXIMA</color> establecida a la que puedes mover tus <color=#FFFFFF88>manos.</color>","Dieses Ziel ist ein spezielles. Es gibt eine <color=#FFFFFF88>MAXIMALE Distanz</color>, die du mit deinen<color=#FFFFFF88>Händen</color> zurücklegen darfst.","Questo obiettivo è speciale. C'è una distanza <color=#FFFFFF88>MASSIMA</color> che puoi spostare con le tue <color=#FFFFFF88>mani</color>.","Este objetivo é especial. Há uma <color=#FFFFFF88>distância MÁXIMA</color> que você pode se mover com suas <color=#FFFFFF88>mãos</color>.","","Это задание особенное. Существует <color=#FFFFFF88>максимально расстояние</color>, которое вы можете пройти своими <color=#FFFFFF88>руками</color>.","","","","","Det här målet är speciellt. Det finns en <color=#FFFFFF88>MAXIMUM avstånd</color> du kan röra med dina <color=#FFFFFF88>händer</color>.","Dit doel is speciaal. Er is een <color=#FFFFFF88>MAXIMALE afstand</color> die je kan afleggen met je <color=#FFFFFF88>handen</color>.","","","この目標は特別です。<color=#FFFFFF88>手</color>を動かすことができる<color=#FFFFFF88>最大距離</color>が決まっています。","该目标比较特殊。<color=#FFFFFF88>最大移动距离</color>是你<color=#FFFFFF88>双手</color>可以移动的距离。","這目標比較特別。<color=#FFFFFF88>最大移動距離</color>是你<color=#FFFFFF88>雙手</color>可以移動的距離。","이번 목표는 특별합니다. <color=#FFFFFF88>손</color>으로 이동할 수 있는 <color=#FFFFFF88>최대 거리</color>가 정해져 있습니다.","","Ez a cél különleges. Van egy <color=#FFFFFF88> MAXIMÁLIS távolság </color>, amelyet a <color=#FFFFFF88> kezeivel </color> mozgathat.","","","","המטרה הזאת מיוחדת. יש <color=#FFFFFF88>הגבלה מסמלית</color> שאתם יכולים להזיז את ה<color=#FFFFFF88>ידיים</color> שלכם.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_HELP_MIN_HANDS_MOVEMENT_DESCRIPTION","","To complete this objective you usually just need to move with your hands a lot. Don't use just your wrists but whole arms.","Pour atteindre cet objectif, il vous suffira de beaucoup bouger vos mains. N'utilisez pas simplement vos poignets, mais bougez intégralement vos bras.","Para completar este objetivo, generalmente necesitas mover mucho las manos. No uses solamente tus muñecas, sino la totalidad de tus brazos.","Um dieses Ziel zu erreichen, musst du für gewöhnlich deine Hände ganz viel bewegen. Verwende nicht nur deine Handgelenke, sondern deine ganzen Arme.","Per completare questo obiettivo di solito devi solo muoverti molto con le mani. Non usare solo i polsi ma le braccia intere.","Para completar este objetivo você normalmente só precisa se mover muito com suas mãos. Não use apenas seus pulsos, mas braços inteiros.","","Для достижения этой цели вам нужно просто двигать руками очень много. Не используйте только запястья, но полностью руки.","","","","","För att slutföra detta mål behöver du oftast bara röra dina händer mycket. Använd inte bara handlederna utan hela armar.","Om dit doel te bereiken moet je meestal veel met je handen bewegen. Gebruik niet alleen je polsen maar ook je hele armen.","","","この目標をクリアするコツは、手をたくさん動かすことです。手首を動かすのではなく、腕全体を動かしましょう。","想完成这个目标你只需要尽量小幅度地移动你的手。不只是移动你的手腕，试试连同手臂一起。","想完成這個目標你只需要盡量小幅度的移動你的手。不是用你的手腕則是整隻手臂。","이 목표를 완료하려면 보통 손을 아주 많이 움직이면 됩니다. 손목만 쓰는 게 아니라 팔 전체를 쓰세요.","","Ennek a célnak a teljesítéséhez általában csak sokat kell mozognia a kezével. Ne csak a csuklóját használja, hanem egész karját.","","","","כדי לעבור את המטרה הזאת אתם בדרך כלל צריכים להזיז את הידיים שלהם המון. אל תזיזו רק את מפרק כף היד שלכם אלה תשתמשו בכל זרוע.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_HELP_MAX_COMBO_TITLE","","In this mission you have to keep your <color=#FFFFFF88>combo</color> below specified number.","Dans cette mission, vous devez conserver votre <color=#FFFFFF88>combo</color> en dessous d'une certaine valeur.","En esta misión, tienes que mantener tu <color=#FFFFFF88>combo</color> por debajo de un número específico.","In dieser Mission musst du deine <color=#FFFFFF88>Combo</color> unter einer bestimmten Zahl halten.","In questa missione devi mantenere la tua <color=#FFFFFF88>combo</color> sotto il numero specificato.","Nesta missão você precisa manter seu <color=#FFFFFF88>combo</color> abaixo do número especificado.","","В этой миссии вы должны держать <color=#FFFFFF88>комбо</color> ниже указанного числа.","","","","","I detta uppdrag måste du behålla ditt <color=#FFFFFF88>combo</color> under det angivna nummer.","Bij deze missie moet je je <color=#FFFFFF88>combo</color> onder het aangegeven aantal houden.","","","このミッションでは、<color=#FFFFFF88>Combo</color>を決まった数以下に抑える必要があります。","该任务要求你保持的你的<color=#FFFFFF88>连击数</color>低于一定数量。","此任務要求保持你的 <color=#FFFFFF88>連擊數</color> 在指定的數目下","이 미션에서는 <color=#FFFFFF88>Combo</color>를 지정된 횟수 미만으로 유지해야 합니다.","","Ebben a küldetésben a <color=#FFFFFF88> kombót </color> a megadott szám alatt kell tartania.","","","","במשימה הזאת אתם צריכים לשמור על ה<color=#FFFFFF88>רצף</color> שלכם מתחת למספר המודגש.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISSION_HELP_MAX_COMBO_TITLE_DESCRIPTION","","One way how to complete this kind of objective is to make deliberate mistakes.","Un bon moyen de l'atteindre est de faire des erreurs volontaires.","Una forma de completar este tipo de objetivos es cometer errores deliberadamente.","Eine Möglichkeit, wie du dieses Ziel abschließen kannst, besteht darin, absichtlich Fehler zu machen.","Un modo per completare questo tipo di obiettivi è quello di commettere errori deliberati.","Uma forma de completar este tipo de objetivos é cometer erros deliberados.","","Одним из способов выполнения таких заданий является создание преднамеренных ошибок.","","","","","Ett sätt att fullborda den här typen av mål är att göra avsiktliga fel.","Een van de manieren om dit soort doelen te bereiken is opzettelijke fouten maken.","","","このような目標をクリアするには、わざとミスをしてみましょう。","完成这种目标的唯一方法是犯些错误。","完成這目標唯一的辦法就是故意犯錯","즉 이 목표를 달성하려면 일부러 실수를 해야 합니다.","","Az ilyen célok megvalósításának egyik módja a szándékos hibák elkövetése.","","","","דרך אחת לסיים את המטרה הזאת היא להיות טובים יותר נובים.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_LEVEL_EDITOR","","Level Editor","Éditeur de niveaux","Editor de Niveles","Level-Editor","Editor Livello","Editor de Nível","","Редактор уровней","","","","","Nivå Redigerare","Level Bewerker","","","ステージエディタ","关卡编辑器","關卡編輯器","레벨 편집기","","Pályaszerkesztő","","","","יצירת שלבים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_SCREEN_DISTORTION_EFFECTS","","Screen Distortion Effects","Effets de déformation de l'écran","Efectos de Distorsión de Pantalla","Bildschirmverzerrungseffekte","Effetti Distorsione Schermo","Efeitos de Distorção de Tela","","Эффекты искажения экрана","","","","","Skärmförvrängning Effekter","Schermvervormingseffecten","","","画面ひずみ効果","屏幕失真效果","螢幕失真效果","화면 왜곡 효과","","Képtorzítási effektusok","","","","אפקט עוות התצוגה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUSTOM_LEVELS_LEADERBOARDS_NOT_SUPPORTED","","Leaderboards for custom levels are not supported.","Le classement n'est pas intégré aux niveaux personnalisés.","No se permiten las tablas de posiciones para los niveles personalizados.","Bestenlisten für benutzerdefinierte Level werden nicht unterstützt.","Le classifiche per i livelli personalizzati non sono supportate.","Placar de classificação para níveis personalizados não são suportados.","","Таблица лидеров для пользовательских уровней не поддерживается.","","","","","Ledartavlor för custom nivåer stöds inte.","Rangschikkingen voor aangepaste levels worden niet ondersteund.","","","カスタムステージのランキングはサポートされていません。","原版排行榜不支持自定义歌曲","原版排行榜不支援自定義歌曲","커스텀 레벨용 순위표는 지원되지 않습니다.","","Egyedi pályáknál nem érhető el ranglista.","","","","אין תמיכה ללוח התוצאות של שירים חיצוניים.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TITLE_CUSTOM_LEVELS","","Custom Levels","Niveaux personnalisés","Niveles Personalizados","Benutzerdefinierte Level","Livelli Personalizzati","Níveis Personalizados","","Пользовательские уровни","","","","","Custom nivåer","Aangepaste Levels","","","カスタムステージ","自定义歌曲","自定義歌曲","커스텀 레벨","","Egyedi pályák","","","","שירים חיצוניים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_AUDIO","","Audio","Audio","Audio","Audio","Audio","Áudio","","Звук","","","","","Audio","Geluid","","","オーディオ","音频","音訊","오디오","","Hang","","","","קול","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_AUDIO_LATENCY_INFO","","This setting can help you compensate an audio delay of your sound system. Adjust the latency value to sync audio with video. Always use your headset to do this calibration.","Ce paramètre peut vous aider à compenser un décalage sonore sur votre système audio. Ajustez la latence pour synchroniser l'audio à la vidéo. Utilisez votre casque pour effectuer ce calibrage.","Este ajuste puede ayudarte a compensar un retraso en el audio de tu sistema de sonido. Ajusta el valor de latencia para sincronizar el audio con el video. Siempre usa tu equipo para hacer esta calibración.","Durch diese Einstellung kannst du eine Audioverzögerung deines Soundsystems ausgleichen. Passe den Latenzwert an, um Audio und Video zu synchronisieren. Nutze immer dein Headset für diese Kalibrierung.","Questa impostazione può aiutarti a compensare il ritardo audio del tuo headset Vr. Regola il valore della latenza per sincronizzare l'audio con il video. Usa sempre l'headset Vr per effettuare questa calibrazione.","Esta configuração pode ajudá-lo a compensar um atraso de áudio do seu sistema de som. Ajuste o valor de latência para sincronizar áudio com o vídeo. Use sempre o seu fone de ouvido para fazer essa calibração.","","Этот параметр поможет вам компенсировать задержку звука в вашей звуковой системе. Отрегулируйте значение задержки для синхронизации аудио с видео. Всегда используйте свою гарнитуру для калибровки.","","","","","Denna inställning kan hjälpa dig att kompensera en ljudfördröjning av ditt ljudsystem. Justera latensvärdet för att synka ljud med video. Använd alltid ditt headset för att göra denna kalibrering.","Deze instelling kan u helpen om audio vertraging op uw system te verhelpen. Pas de vertragingswaarde aan om de audio met de video te synchroniseren. Gebruik altijd uw koptelefoon om deze calibratie uit te voeren.","","","この設定はサウンドシステムのオーディオ遅延を補正します。レイテンシ値を調節して、オーディオをビデオと同期させましょう。この調整を行う場合、常にヘッドセットを使用してください。","此设置可以帮助您补偿声音系统的音频延迟。 调整延迟值以将音频与视频同步。 请在VR头显中进行此校准。","此設置可以幫助你調整誰音系統的延遲。 可將影片與音頻同步, 請在VR頭盔中進行校準","이 설정으로 사용자의 사운드 시스템상 오디오 지연을 보완할 수 있습니다. 오디오와 비디오를 동기화하는 지연 속도 값을 조절합니다. 이 설정에서는 항상 헤드셋을 사용하십시오.","","Ez a beállítás segíthet kompenzálni a hangrendszered által adott késleltetést. Állítsd be a késleltetési értéket a hang videóval való szinkronizálásához. A kalibráláshoz mindig a fejszettet használd.","","","","ההגדרה הזאת תעזור עם עיכוב הקול של המשחק. תסדרו את העיכוב כדי שהקול והתצוגה יהיו מסוכרנים. תמיד תעשו את זה עם איך שאתם שומעים במסכת מציאות המדומה שלכם.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
